Time ns, Temperature
1583585115897906752, 1701
1583585116897967344, 1707
1583585117897988289, 1725
1583585118897892741, 1701
1583585119897995229, 1715
1583585120897999660, 1723
1583585121897991371, 1723
1583585122897993122, 1738
1583585123898014244, 1713
1583585124897872285, 1715
1583585125898016818, 1717
1583585126898027986, 1722
1583585127897988505, 1717
1583585128898021691, 1744
1583585129898026590, 1709
1583585130898010846, 1698
1583585131898029251, 1707
1583585132898032579, 1712
1583585133898035553, 1723
1583585134898000641, 1711
1583585135898000216, 1728
1583585136898036340, 1729
1583585137898054179, 1714
1583585138898052750, 1707
1583585139898049140, 1710
1583585140893047699, 1711
1583585141898027622, 1727
1583585142898025433, 1710
1583585143899032955, 1701
1583585144899018553, 1715
1583585145899028528, 1705
1583585146899058870, 1719
1583585147899075900, 1728
1583585148899115097, 1711
1583585149899071415, 1712
1583585150899047368, 1714
1583585151899044475, 1728
1583585152899081678, 1713
1583585153899042629, 1712
1583585154899073619, 1709
1583585155899037594, 1723
1583585156899083840, 1726
1583585157899094959, 1713
1583585158899089703, 1710
1583585159899089359, 1715
1583585160899107859, 1737
1583585161899099147, 1713
1583585162899062200, 1712
1583585163899034167, 1728
1583585164899076029, 1703
1583585165899098167, 1719
1583585166899114280, 1712
1583585167899061091, 1747
1583585168899080196, 1717
1583585169899075169, 1712
1583585170899076056, 1731
1583585171899076398, 1706
1583585172899081596, 1705
1583585173899117856, 1729
1583585174899091635, 1701
1583585175899119026, 1709
1583585176899136104, 1726
1583585177899129491, 1719
1583585178899131421, 1713
1583585179899127642, 1685
1583585180899101557, 1724
1583585181899134457, 1706
1583585182899132094, 1710
1583585183899135924, 1709
1583585184899109296, 1722
1583585185899141722, 1725
1583585186899110731, 1695
1583585187899142689, 1707
1583585188899151985, 1703
1583585189899149889, 1714
1583585190899146911, 1690
1583585191899159193, 1699
1583585192899161535, 1712
1583585193899168311, 1725
1583585194899179054, 1699
1583585195899163601, 1711
1583585196899161282, 1711
1583585197899171994, 1714
1583585198899164197, 1705
1583585199899163359, 1715
1583585200899177809, 1723
1583585201899179605, 1713
1583585202900160920, 1705
1583585203900139517, 1722
1583585204900114986, 1680
1583585205900189790, 1713
1583585206900148050, 1696
1583585207900159304, 1695
1583585208900146543, 1702
1583585209900145668, 1714
1583585210900130337, 1695
1583585211900161195, 1720
1583585212900130447, 1702
1583585213900195762, 1690
1583585214900169293, 1698
1583585215900156042, 1714
1583585216900136202, 1723
